	cluster	instances	deposits	length
5544	['DP2']	4	2	1
5545	['5HI']	4	1	1
5546	['BX6']	4	1	1
5547	['5HG', '6RH']	4	2	2
5548	['BY7']	4	2	1
5549	['DQH']	4	3	1
5550	['DQ1']	4	1	1
5551	['DPX']	4	1	1
5552	['X1H']	4	1	1
5553	['5I5']	4	1	1
5554	['X1X']	4	3	1
5555	['5HZ', '5J1']	4	2	2
5556	['BYV']	4	2	1
5557	['BYY']	4	1	1
5558	['BZ0']	4	1	1
5559	['X6P']	4	1	1
5560	['5N8']	4	1	1
5561	['ECY']	4	1	1
5562	['BWA']	4	1	1
5563	['C56']	4	2	1
5564	['WR2']	4	4	1
5565	['5F5', 'VM1']	4	2	2
5566	['5H3']	4	2	1
5567	['C1F']	4	1	1
5568	['5G8']	4	1	1
5569	['WY5']	4	1	1
5570	['VT1']	4	3	1
5571	['C0D']	4	1	1
5572	['C0G']	4	1	1
5573	['E42']	4	1	1
5574	['E3Y', 'E44']	4	2	2
5575	['E3T']	4	1	1
5576	['C0T']	4	2	1
5577	['7ER', '5FS']	4	2	2
5578	['5GZ']	4	1	1
5579	['UPP']	4	2	1
5580	['5GO']	4	1	1
5581	['C2Q']	4	2	1
5582	['5E8']	4	1	1
5583	['38N']	4	1	1
5584	['UPT']	4	1	1
5585	['B07']	4	1	1
5586	['9WX']	4	1	1
5587	['9X0']	4	1	1
5588	['WXP']	4	1	1
5589	['C11']	4	2	1
5590	['EHB']	4	1	1
5591	['C3R']	4	1	1
5592	['C5Q']	4	1	1
5593	['5DN']	4	4	1
5594	['C4V']	4	1	1
5595	['C3W']	4	1	1
5596	['5DK']	4	1	1
5597	['WP5']	4	1	1
5598	['C4A']	4	1	1
5599	['WP6']	4	1	1
5600	['WP7']	4	1	1
5601	['5DJ', '5G6']	4	2	2
5602	['WPE']	4	1	1
5603	['C6W']	4	1	1
5604	['WPF']	4	1	1
5605	['WPG']	4	1	1
5606	['C7B']	4	4	1
5607	['EDV', 'FDU']	4	2	2
5608	['5BF']	4	1	1
5609	['5BD']	4	1	1
5610	['5B6']	4	1	1
5611	['C65']	4	1	1
5612	['EEZ']	4	1	1
5613	['VS8']	4	1	1
5614	['5R7']	4	2	1
5615	['A21']	4	1	1
5616	['D45']	4	3	1
5617	['ASY', 'KTC']	4	2	2
5618	['AT5']	4	3	1
5619	['ATA']	4	1	1
5620	['D4N']	4	1	1
5621	['4LH']	4	1	1
5622	['ARH']	4	1	1
5623	['ARW']	4	1	1
5624	['AS0']	4	3	1
5625	['APG']	4	4	1
5626	['ZX8', 'ZX7']	4	2	2
5627	['4KU']	4	1	1
5628	['AN5']	4	1	1
5629	['DAI']	4	2	1
5630	['ZSW']	4	2	1
5631	['DBX']	4	2	1
5632	['DBO']	4	1	1
5633	['AM3']	4	1	1
5634	['D8T']	4	1	1
5635	['AMR']	4	2	1
5636	['AOM']	4	3	1
5637	['4Q3']	4	1	1
5638	['D44']	4	2	1
5639	['ASV']	4	4	1
5640	['D7Z']	4	1	1
5641	['D4G']	4	1	1
5642	['NJM', 'DJR']	4	4	2
5643	['4VA']	4	2	1
5644	['YSC', 'YSU']	4	2	2
5645	['G04', '4UY']	4	4	2
5646	['4W9']	4	1	1
5647	['9NF']	4	1	1
5648	['4W0']	4	1	1
5649	['4VU']	4	1	1
5650	['DH5']	4	1	1
5651	['YN4']	4	2	1
5652	['DHM']	4	2	1
5653	['DC8']	4	2	1
5654	['4M5']	4	2	1
5655	['4LS']	4	4	1
5656	['D6K']	4	3	1
5657	['D64']	4	1	1
5658	['AR5']	4	1	1
5659	['D72']	4	1	1
5660	['D7P']	4	2	1
5661	['ARP', 'APS']	4	2	2
5662	['APX']	4	1	1
5663	['4PX']	4	4	1
5664	['ZTD']	4	1	1
5665	['5P2']	4	1	1
5666	['FSE']	4	3	1
5667	['AZP']	4	3	1
5668	['ZZX']	4	4	1
5669	['4P5']	4	1	1
5670	['4NJ']	4	1	1
5671	['4P3']	4	1	1
5672	['AYO']	4	1	1
5673	['4OR']	4	1	1
5674	['FQX']	4	1	1
5675	['FQW']	4	1	1
5676	['4OQ']	4	1	1
5677	['AZ0']	4	1	1
5678	['FQQ']	4	1	1
5679	['56N']	4	1	1
5680	['FQH']	4	1	1
5681	['FQE']	4	1	1
5682	['FQB']	4	1	1
5683	['57O']	4	1	1
5684	['ZZ3']	4	3	1
5685	['ZSV']	4	2	1
5686	['AV4']	4	1	1
5687	['ZIO']	4	3	1
5688	['AXL']	4	3	1
5689	['AX6']	4	1	1
5690	['ANY']	4	2	1
5691	['AX5']	4	1	1
5692	['AO']	4	2	1
5693	['AO6']	4	1	1
5694	['AO7', 'KYA']	4	3	2
5695	['4PL']	4	1	1
5696	['AOB']	4	1	1
5697	['D9P']	4	1	1
5698	['ZUN']	4	1	1
5699	['4QJ']	4	1	1
5700	['DQQ', 'AXR']	4	4	2
5701	['4O2']	4	1	1
5702	['FRI']	4	1	1
5703	['FRH']	4	1	1
5704	['CXW', 'AXW']	4	2	2
5705	['AY2']	4	2	1
5706	['AY4']	4	2	1
5707	['ZZD']	4	2	1
5708	['4NR']	4	1	1
5709	['4NO']	4	2	1
5710	['ZZI']	4	1	1
5711	['AX1']	4	1	1
5712	['AX4']	4	1	1
5713	['9L9']	4	2	1
5714	['9KW', 'WGX']	4	2	2
5715	['Z99']	4	3	1
5716	['9HZ']	4	1	1
5717	['V28']	4	1	1
5718	['9J0']	4	1	1
5719	['CP3']	4	4	1
5720	['5UO']	4	1	1
5721	['5UL']	4	1	1
5722	['9JD']	4	1	1
5723	['COK']	4	4	1
5724	['9D9', 'HA1']	4	2	2
5725	['5UF']	4	2	1
5726	['9DJ']	4	1	1
5727	['5UB']	4	1	1
5728	['5TK']	4	1	1
5729	['9E1']	4	1	1
5730	['9E6']	4	1	1
5731	['5TH']	4	1	1
5732	['5SP']	4	3	1
5733	['CU7']	4	1	1
5734	['5SN', 'X8D', '6BL']	4	3	3
5735	['CUV']	4	2	1
5736	['CVK']	4	1	1
5737	['CVJ']	4	1	1
5738	['CNB']	4	1	1
5739	['5TM']	4	1	1
5740	['4WF']	4	1	1
5741	['9JJ']	4	1	1
5742	['D1G']	4	1	1
5743	['VNR']	4	1	1
5744	['9G4']	4	1	1
5745	['9HG']	4	2	1
5746	['9HI']	4	1	1
5747	['VOG']	4	2	1
5748	['9HJ']	4	2	1
5749	['9HL']	4	2	1
5750	['VPP']	4	2	1
5751	['5PW']	4	1	1
5752	['5RV']	4	1	1
5753	['CQY']	4	1	1
5754	['V6F']	4	1	1
5755	['9GW', '9GT']	4	2	2
5756	['5U8']	4	1	1
5757	['9JT']	4	2	1
5758	['9K4']	4	1	1
5759	['9K9']	4	2	1
5760	['CNY']	4	1	1
5761	['CNX']	4	1	1
5762	['V24']	4	1	1
5763	['CVF']	4	1	1
5764	['VER']	4	2	1
5765	['VFC']	4	1	1
5766	['CV4']	4	1	1
5767	['9PM']	4	2	1
5768	['DCN']	4	1	1
5769	['9R9']	4	1	1
5770	['DCK', 'GVM']	4	2	2
5771	['Z8R']	4	1	1
5772	['9RB']	4	2	1
5773	['9RC']	4	1	1
5774	['DDY']	4	1	1
5775	['4SM']	4	1	1
5776	['DDN']	4	2	1
5777	['4SQ']	4	1	1
5778	['718', '4X6', '8P1']	4	3	3
5779	['ZD2']	4	1	1
5780	['4X2']	4	1	1
5781	['ZDA']	4	2	1
5782	['9KJ']	4	1	1
5783	['ZE7']	4	1	1
5784	['9LS', 'OMK']	4	2	2
5785	['9NP']	4	1	1
5786	['4WL']	4	3	1
5787	['4X7']	4	1	1
5788	['4S3']	4	1	1
5789	['4S2']	4	1	1
5790	['DFL']	4	2	1
5791	['VAR']	4	2	1
5792	['MIB', '9F8']	4	2	2
5793	['CUW']	4	1	1
5794	['CUT']	4	2	1
5795	['VC4', 'VC5']	4	2	2
5796	['VAB']	4	1	1
5797	['CS8']	4	1	1
5798	['9FJ']	4	1	1
5799	['CS5']	4	2	1
5800	['CRP']	4	2	1
5801	['5T4', '841']	4	2	2
5802	['4S1']	4	1	1
5803	['4TG']	4	2	1
5804	['4TF']	4	1	1
5805	['9RR']	4	2	1
5806	['DF0']	4	1	1
5807	['9OS']	4	2	1
5808	['9P1']	4	2	1
5809	['9P6']	4	1	1
5810	['9OM']	4	2	1
5811	['DFV']	4	3	1
5812	['DP5']	4	1	1
5813	['TFR']	4	1	1
5814	['3RH']	4	2	1
5815	['JD5', 'YS1']	4	4	2
5816	['3H1']	4	1	1
5817	['DZS']	4	2	1
5818	['3NQ']	4	1	1
5819	['DZV']	4	2	1
5820	['JF5']	4	1	1
5821	['JF4']	4	1	1
5822	['CF3']	4	1	1
5823	['JF2']	4	1	1
5824	['DZY']	4	1	1
5825	['E01']	4	1	1
5826	['WLM']	4	1	1
5827	['NPL', 'MPL', 'NOP']	4	4	3
5828	['JEK', 'JEE']	4	2	2
5829	['BD3']	4	1	1
5830	['DYV']	4	2	1
5831	['3NR']	4	1	1
5832	['WIA']	4	2	1
5833	['3O4']	4	1	1
5834	['8AP', '848', '3IP']	4	4	3
5835	['3JO']	4	1	1
5836	['CBC']	4	1	1
5837	['JAN']	4	4	1
5838	['WHF']	4	1	1
5839	['3JS']	4	1	1
5840	['B77']	4	1	1
5841	['3JT']	4	1	1
5842	['DTQ']	4	4	1
5843	['W84']	4	4	1
5844	['3OQ']	4	1	1
5845	['C8J']	4	1	1
5846	['3HI']	4	1	1
5847	['DK4', 'CKB', 'GPK']	4	3	3
5848	['DXG']	4	1	1
5849	['3M2']	4	1	1
5850	['G0E', 'G02', 'DXH']	4	4	3
5851	['BC9']	4	1	1
5852	['BCP']	4	2	1
5853	['3P1', 'GB8']	4	3	2
5854	['BBA']	4	3	1
5855	['BBE']	4	1	1
5856	['3QF']	4	1	1
5857	['CN1']	4	1	1
5858	['DXK']	4	2	1
5859	['MUY']	4	1	1
5860	['DXS']	4	1	1
5861	['3LX', '8E7']	4	3	2
5862	['CMH']	4	1	1
5863	['CL9']	4	2	1
5864	['DX8']	4	1	1
5865	['DX7']	4	1	1
5866	['CK2']	4	3	1
5867	['3M5']	4	2	1
5868	['3QA']	4	1	1
5869	['JDM', 'W7G']	4	2	2
5870	['W79']	4	2	1
5871	['3NC']	4	1	1
5872	['3HX']	4	2	1
5873	['JEB', 'JFB']	4	2	2
5874	['3I7']	4	1	1
5875	['3IB', '7AN']	4	3	2
5876	['3O2']	4	1	1
5877	['DX1']	4	1	1
5878	['DX2']	4	1	1
5879	['3NX']	4	1	1
5880	['3JU']	4	1	1
5881	['3ON']	4	1	1
5882	['W82']	4	2	1
5883	['I51', 'CCV']	4	2	2
5884	['3RJ']	4	1	1
5885	['JJP']	4	2	1
5886	['DV8']	4	1	1
5887	['DUK']	4	1	1
5888	['B9P']	4	1	1
5889	['CDG']	4	1	1
5890	['MRR']	4	1	1
5891	['MRS']	4	1	1
5892	['DV5']	4	1	1
5893	['GDT']	4	1	1
5894	['MRU']	4	1	1
5895	['LFY', 'LD7', 'JH1']	4	4	3
5896	['3S0']	4	2	1
5897	['3SO']	4	1	1
5898	['MS0']	4	2	1
5899	['B8S', 'B8Y', 'N2A']	4	3	3
5900	['CD8']	4	1	1
5901	['JH3']	4	2	1
5902	['CCC']	4	3	1
5903	['JI2']	4	2	1
5904	['JI3']	4	2	1
5905	['MS7']	4	1	1
5906	['JKF']	4	1	1
5907	['JI7']	4	2	1
5908	['MS8']	4	2	1
5909	['3R2']	4	2	1
5910	['JJ3']	4	2	1
5911	['CBP']	4	2	1
5912	['MRC']	4	4	1
5913	['MQA']	4	1	1
5914	['B9L']	4	2	1
5915	['B9F']	4	1	1
5916	['3RD']	4	1	1
5917	['3SG']	4	1	1
5918	['3JV']	4	1	1
5919	['W80']	4	2	1
5920	['3JY']	4	2	1
5921	['YAM', '3JZ']	4	4	2
5922	['3QG']	4	1	1
5923	['3K4']	4	2	1
5924	['C9A']	4	1	1
5925	['JCQ']	4	1	1
5926	['DT2', 'DT5']	4	3	2
5927	['3J7']	4	1	1
5928	['3JD']	4	1	1
5929	['3JF']	4	1	1
5930	['B87']	4	1	1
5931	['3JG']	4	1	1
5932	['B7B']	4	1	1
5933	['JFP']	4	2	1
5934	['B7N']	4	3	1
5935	['3JH']	4	1	1
5936	['WAQ']	4	2	1
5937	['3JJ']	4	1	1
5938	['C8V']	4	2	1
5939	['3JK']	4	1	1
5940	['B7W']	4	1	1
5941	['B82']	4	1	1
5942	['MOT']	4	4	1
5943	['MOX']	4	2	1
5944	['3RK']	4	1	1
5945	['BAI']	4	4	1
5946	['JFQ']	4	2	1
5947	['BC6']	4	1	1
5948	['JFZ']	4	1	1
5949	['CIE']	4	3	1
5950	['B2Z']	4	1	1
5951	['3KQ']	4	1	1
5952	['BXX']	4	3	1
5953	['DM6']	4	4	1
5954	['R38', 'BY0']	4	2	2
5955	['CIO']	4	2	1
5956	['3KR']	4	1	1
5957	['VUR']	4	2	1
5958	['DLL']	4	2	1
5959	['X2E']	4	2	1
5960	['3KX']	4	1	1
5961	['CI3']	4	1	1
5962	['3KY']	4	1	1
5963	['B0L']	4	2	1
5964	['5JJ']	4	2	1
5965	['37T']	4	2	1
5966	['37R']	4	1	1
5967	['DMV']	4	1	1
5968	['MWB']	4	2	1
5969	['52O', '3KK']	4	2	2
5970	['CGQ']	4	3	1
5971	['J9Y', '5KJ']	4	2	2
5972	['BXD']	4	2	1
5973	['B39']	4	2	1
5974	['W31']	4	1	1
5975	['37P']	4	1	1
5976	['CGB']	4	2	1
5977	['38D']	4	1	1
5978	['JT1']	4	1	1
5979	['DL1']	4	2	1
5980	['3KN']	4	1	1
5981	['3LO', '3UT']	4	3	2
5982	['MUG']	4	1	1
5983	['3L3']	4	1	1
5984	['JSW']	4	1	1
5985	['W06']	4	2	1
5986	['JUO']	4	1	1
5987	['W13']	4	1	1
5988	['JN4']	4	1	1
5989	['DPJ']	4	4	1
5990	['W35']	4	4	1
5991	['W16']	4	1	1
5992	['B73']	4	1	1
5993	['5JK']	4	4	1
5994	['B62']	4	2	1
5995	['B5P', '3MS']	4	2	2
5996	['B2Y']	4	1	1
5997	['B3V']	4	1	1
5998	['B0Q']	4	1	1
5999	['5JY', '5JX']	4	2	2
6000	['JU2']	4	1	1
6001	['BX9']	4	1	1
6002	['3ML']	4	1	1
6003	['CLP']	4	2	1
6004	['5JV', '5NJ']	4	3	2
6005	['JQ5']	4	1	1
6006	['DN3']	4	1	1
6007	['4T6']	3	2	1
6008	['4P0']	3	1	1
6009	['4RS']	3	1	1
6010	['MKU']	3	2	1
6011	['PLK']	3	1	1
6012	['MTC']	3	3	1
6013	['0SK']	3	2	1
6014	['PLI']	3	2	1
6015	['Z8B']	3	2	1
6016	['4S0']	3	2	1
6017	['PSI']	3	3	1
6018	['PJ2']	3	1	1
6019	['009']	3	1	1
6020	['R01']	3	1	1
6021	['NZO']	3	2	1
6022	['Z48']	3	2	1
6023	['NE8']	3	2	1
6024	['RPA']	3	1	1
6025	['OAG']	3	3	1
6026	['4P8']	3	2	1
6027	['3G0']	3	1	1
6028	['4SS']	3	1	1
6029	['SCO', 'SCD']	3	2	2
6030	['R34']	3	3	1
6031	['Z5K']	3	1	1
6032	['NE6']	3	2	1
6033	['0SJ']	3	1	1
6034	['3G3']	3	1	1
6035	['MKH']	3	1	1
6036	['Z90']	3	2	1
6037	['58N']	3	1	1
6038	['MKM']	3	1	1
6039	['0RU']	3	1	1
6040	['MSP']	3	2	1
6041	['PSQ']	3	1	1
6042	['XLI']	3	1	1
6043	['4P9']	3	2	1
6044	['NEF']	3	2	1
6045	['PRM']	3	2	1
6046	['O3Y']	3	1	1
6047	['SCV']	3	3	1
6048	['TMI']	3	1	1
6049	['PLT']	3	2	1
6050	['PN3']	3	2	1
6051	['MS2']	3	1	1
6052	['S2P']	3	1	1
6053	['SLZ']	3	2	1
6054	['NPA']	3	2	1
6055	['NKY']	3	3	1
6056	['VDP']	3	2	1
6057	['NPJ']	3	1	1
6058	['R79']	3	1	1
6059	['L22', '56K']	3	2	2
6060	['MTW']	3	2	1
6061	['R64']	3	1	1
6062	['NBF']	3	2	1
6063	['VEA']	3	2	1
6064	['NBO']	3	2	1
6065	['LZ0']	3	1	1
6066	['S2N']	3	1	1
6067	['012']	3	1	1
6068	['NPX']	3	2	1
6069	['ZLK']	3	1	1
6070	['ZJB']	3	1	1
6071	['3CM']	3	3	1
6072	['R46']	3	1	1
6073	['MRK']	3	3	1
6074	['NPW']	3	3	1
6075	['57D']	3	2	1
6076	['R88']	3	1	1
6077	['LZ9']	3	3	1
6078	['NRB']	3	2	1
6079	['11B']	3	1	1
6080	['57J']	3	1	1
6081	['57K']	3	1	1
6082	['3C8']	3	2	1
6083	['PME']	3	2	1
6084	['QNO']	3	3	1
6085	['NBV']	3	2	1
6086	['R02']	3	1	1
6087	['R04']	3	1	1
6088	['R03']	3	1	1
6089	['MP7']	3	2	1
6090	['4OZ']	3	1	1
6091	['O84']	3	2	1
6092	['ZYF']	3	1	1
6093	['NDR']	3	2	1
6094	['MT9']	3	2	1
6095	['PLB']	3	3	1
6096	['PM8']	3	3	1
6097	['OB3']	3	1	1
6098	['Z27']	3	1	1
6099	['OB9']	3	1	1
6100	['Z89']	3	1	1
6101	['10B']	3	2	1
6102	['MP5']	3	2	1
6103	['MSJ']	3	1	1
6104	['O44']	3	2	1
6105	['5RX']	3	2	1
6106	['3AL', '5HY']	3	2	2
6107	['VAK']	3	1	1
6108	['PL4', 'PL5']	3	2	2
6109	['109']	3	2	1
6110	['PN7']	3	3	1
6111	['R11']	3	3	1
6112	['R17']	3	1	1
6113	['R19']	3	1	1
6114	['SBI']	3	3	1
6115	['MRI']	3	2	1
6116	['MRN']	3	2	1
6117	['Z6X', '56S']	3	2	2
6118	['4OX']	3	2	1
6119	['MQ0']	3	1	1
6120	['3OM']	3	2	1
6121	['TMF']	3	3	1
6122	['12U']	3	3	1
6123	['YX0']	3	1	1
6124	['05B']	3	2	1
6125	['MHI']	3	3	1
6126	['3PZ']	3	3	1
6127	['MLX']	3	2	1
6128	['TIO']	3	2	1
6129	['Z15']	3	2	1
6130	['35K']	3	1	1
6131	['PE6']	3	2	1
6132	['PFS']	3	1	1
6133	['370']	3	1	1
6134	['07H']	3	1	1
6135	['4K7']	3	1	1
6136	['YZ9']	3	1	1
6137	['MHT']	3	2	1
6138	['4KN']	3	1	1
6139	['069', '45L']	3	2	2
6140	['362', '4UB']	3	2	2
6141	['4LK']	3	2	1
6142	['TLP']	3	1	1
6143	['ZHK']	3	1	1
6144	['Z1B']	3	1	1
6145	['S44']	3	2	1
6146	['P9M']	3	1	1
6147	['PA6']	3	1	1
6148	['S1C']	3	1	1
6149	['11S', 'ES9']	3	2	2
6150	['PAI']	3	2	1
6151	['ZYC']	3	2	1
6152	['PFM']	3	1	1
6153	['MXD']	3	2	1
6154	['TJ7']	3	2	1
6155	['1FM']	3	3	1
6156	['MIM']	3	2	1
6157	['PUF']	3	1	1
6158	['PWY']	3	1	1
6159	['ZPN']	3	3	1
6160	['3P5']	3	1	1
6161	['PEM']	3	3	1
6162	['3P7']	3	2	1
6163	['PF3']	3	1	1
6164	['PW3']	3	2	1
6165	['4PS']	3	2	1
6166	['33Z']	3	1	1
6167	['PHX']	3	2	1
6168	['33Y']	3	2	1
6169	['4Q5']	3	2	1
6170	['06W']	3	2	1
6171	['4PP']	3	2	1
6172	['1FN']	3	2	1
6173	['36S']	3	1	1
6174	['0JA']	3	2	1
6175	['3QB']	3	2	1
6176	['4KT']	3	1	1
6177	['S77']	3	1	1
6178	['079']	3	2	1
6179	['MV7']	3	1	1
6180	['QBH']	3	1	1
6181	['36U']	3	1	1
6182	['55E']	3	2	1
6183	['36V']	3	1	1
6184	['4L7']	3	2	1
6185	['12T', 'ANX']	3	2	2
6186	['TNV']	3	3	1
6187	['MI3', 'ONA']	3	3	2
6188	['PD5']	3	2	1
6189	['O01']	3	1	1
6190	['ZAH']	3	1	1
6191	['S53']	3	1	1
6192	['I7P', '5A3']	3	3	2
6193	['O3M']	3	1	1
6194	['RPB']	3	2	1
6195	['SVF', 'O0M']	3	2	2
6196	['4XB']	3	1	1
6197	['O1Y']	3	1	1
6198	['RXV']	3	2	1
6199	['YP6', '07R']	3	2	2
6200	['PTW']	3	1	1
6201	['TMJ']	3	2	1
6202	['P9I']	3	1	1
6203	['PCX']	3	2	1
6204	['ZAS']	3	2	1
6205	['POH']	3	2	1
6206	['O38']	3	3	1
6207	['Z9N']	3	3	1
6208	['MJJ']	3	1	1
6209	['MJA']	3	2	1
6210	['58C']	3	1	1
6211	['3O5', '5RD']	3	2	2
6212	['343']	3	1	1
6213	['3G5']	3	2	1
6214	['3G6']	3	1	1
6215	['37U', '51U', '10P']	3	3	3
6216	['586']	3	1	1
6217	['TNK']	3	3	1
6218	['6SQ', '3G9']	3	2	2
6219	['XNW']	3	2	1
6220	['584']	3	2	1
6221	['38I']	3	1	1
6222	['R23']	3	1	1
6223	['MPV']	3	2	1
6224	['QWS']	3	2	1
6225	['MI6']	3	1	1
6226	['Q15']	3	2	1
6227	['38C']	3	2	1
6228	['4MT']	3	1	1
6229	['06B']	3	1	1
6230	['PYL']	3	2	1
6231	['SDN']	3	1	1
6232	['PX9']	3	3	1
6233	['MPJ']	3	3	1
6234	['10X']	3	1	1
6235	['ZOM']	3	2	1
6236	['YPN']	3	1	1
6237	['QQ3']	3	1	1
6238	['YOM']	3	2	1
6239	['TL6']	3	1	1
6240	['TL5']	3	1	1
6241	['PCU', 'PNI']	3	2	2
6242	['YNE']	3	1	1
6243	['3F3']	3	1	1
6244	['PC9']	3	2	1
6245	['SBW']	3	1	1
6246	['YMZ']	3	2	1
6247	['SDC']	3	1	1
6248	['MID']	3	3	1
6249	['090']	3	2	1
6250	['54S']	3	2	1
6251	['135']	3	2	1
6252	['PZZ']	3	3	1
6253	['YTA']	3	3	1
6254	['RPT']	3	2	1
6255	['4UW']	3	2	1
6256	['3GQ']	3	2	1
6257	['5JC']	3	2	1
6258	['SA0']	3	2	1
6259	['L98']	3	1	1
6260	['UNT', 'L92']	3	2	2
6261	['SF8']	3	2	1
6262	['5BX']	3	2	1
6263	['5BW']	3	2	1
6264	['5BS']	3	2	1
6265	['NAF']	3	2	1
6266	['0YW']	3	1	1
6267	['L8J']	3	2	1
6268	['Y6W']	3	1	1
6269	['N8Y']	3	1	1
6270	['0A1']	3	3	1
6271	['VZ4']	3	2	1
6272	['W77']	3	2	1
6273	['LFR']	3	3	1
6274	['OGN', '5G0']	3	3	2
6275	['OPZ']	3	1	1
6276	['VXX']	3	2	1
6277	['5C1', 'YE6']	3	3	2
6278	['X07', 'X88', 'Z02']	3	3	3
6279	['VTQ']	3	1	1
6280	['41K']	3	3	1
6281	['YL5']	3	1	1
6282	['17A']	3	1	1
6283	['L9Q']	3	2	1
6284	['4D8']	3	2	1
6285	['40F']	3	2	1
6286	['42A', 'LZM']	3	3	2
6287	['0YZ']	3	1	1
6288	['W03', 'W02', 'W01']	3	3	3
6289	['42G']	3	2	1
6290	['4DS']	3	1	1
6291	['WPL']	3	2	1
6292	['VZ5', 'WZA']	3	3	2
6293	['REN']	3	3	1
6294	['Y3J']	3	1	1
6295	['L9K', 'L9W']	3	2	2
6296	['5C9']	3	1	1
6297	['RB3']	3	2	1
6298	['YBN']	3	1	1
6299	['UNF']	3	2	1
6300	['UNG']	3	2	1
6301	['LFC']	3	2	1
6302	['Y3']	3	3	1
6303	['0BY']	3	2	1
6304	['LF0']	3	3	1
6305	['LEV']	3	2	1
6306	['1BN']	3	2	1
6307	['MZH', 'OPP']	3	3	2
6308	['16E']	3	2	1
6309	['4GG']	3	1	1
6310	['LE3']	3	1	1
6311	['REF']	3	3	1
6312	['3IN']	3	3	1
6313	['LQD']	3	2	1
6314	['RBZ']	3	3	1
6315	['VXQ', 'MR1', '5XC']	3	3	3
6316	['YH2']	3	2	1
6317	['Y10']	3	3	1
6318	['15B']	3	1	1
6319	['RDE']	3	2	1
6320	['V0L']	3	2	1
6321	['UX4']	3	1	1
6322	['5FK']	3	1	1
6323	['OOB']	3	2	1
6324	['OQR']	3	2	1
6325	['UNN']	3	1	1
6326	['1AU']	3	2	1
6327	['1BL']	3	1	1
6328	['16B']	3	2	1
6329	['UKA']	3	3	1
6330	['MYX']	3	2	1
6331	['Y39']	3	2	1
6332	['WF4']	3	2	1
6333	['OS2']	3	2	1
6334	['OS3']	3	2	1
6335	['RDA']	3	2	1
6336	['5E7']	3	1	1
6337	['5E4']	3	1	1
6338	['UWN']	3	2	1
6339	['1AK']	3	1	1
6340	['5DU']	3	2	1
6341	['038']	3	1	1
6342	['LP1']	3	3	1
6343	['X25']	3	1	1
6344	['VC3', '3VS']	3	2	2
6345	['1EF', '2H7']	3	2	2
6346	['1DZ']	3	2	1
6347	['RH5']	3	1	1
6348	['43Q']	3	3	1
6349	['LP9']	3	2	1
6350	['5HA']	3	3	1
6351	['475', '445']	3	2	2
6352	['XYZ']	3	2	1
6353	['XV1']	3	1	1
6354	['1CS']	3	2	1
6355	['5IU']	3	2	1
6356	['3UC']	3	1	1
6357	['3UA']	3	1	1
6358	['3YT', '3YV']	3	3	2
6359	['1CP']	3	3	1
6360	['LOT']	3	2	1
6361	['5HE']	3	1	1
6362	['RIR']	3	2	1
6363	['TIH']	3	3	1
6364	['1EW']	3	2	1
6365	['LHA']	3	1	1
6366	['3U2']	3	1	1
6367	['1ET']	3	2	1
6368	['X2X']	3	2	1
6369	['3W1']	3	1	1
6370	['1EE']	3	1	1
6371	['XZN']	3	3	1
6372	['LHL']	3	2	1
6373	['X2O']	3	1	1
6374	['5HM']	3	2	1
6375	['XYQ']	3	2	1
6376	['LIJ']	3	1	1
6377	['XYM', 'XYN']	3	2	2
6378	['3VY']	3	2	1
6379	['3VU']	3	2	1
6380	['3U9']	3	1	1
6381	['3YR']	3	2	1
6382	['5IP']	3	2	1
6383	['1CO']	3	2	1
6384	['RFQ']	3	3	1
6385	['44G']	3	2	1
6386	['3KH']	3	1	1
6387	['4EU']	3	2	1
6388	['RJE']	3	1	1
6389	['43W', '0CN']	3	2	2
6390	['LH5']	3	1	1
6391	['LAP']	3	1	1
6392	['5CZ', 'HXL']	3	3	2
6393	['5CT']	3	2	1
6394	['XX4']	3	1	1
6395	['WUB']	3	3	1
6396	['RI5']	3	3	1
6397	['5D5']	3	2	1
6398	['O1M', '14N', '54U']	3	3	3
6399	['LA8']	3	2	1
6400	['40U']	3	2	1
6401	['0CG']	3	2	1
6402	['W37']	3	1	1
6403	['DKQ', '174']	3	3	2
6404	['1DC', '8ME', 'MEJ']	3	3	3
6405	['45B']	3	1	1
6406	['5NK']	3	3	1
6407	['SGD']	3	2	1
6408	['18P']	3	1	1
6409	['5NE', '8HQ']	3	2	2
6410	['5KT']	3	2	1
6411	['LLT']	3	2	1
6412	['1C9']	3	2	1
6413	['5N2']	3	1	1
6414	['4EL']	3	1	1
6415	['X8M']	3	1	1
6416	['3X6']	3	3	1
6417	['LJY']	3	1	1
6418	['X48']	3	1	1
6419	['3XO']	3	1	1
6420	['5LH']	3	2	1
6421	['5L4']	3	3	1
6422	['3H2', 'PBN']	3	3	2
6423	['0BI']	3	1	1
6424	['SIR']	3	2	1
6425	['3ND']	3	1	1
6426	['P20']	3	1	1
6427	['NGK']	3	3	1
6428	['P9D']	3	2	1
6429	['XDH']	3	2	1
6430	['60C']	3	3	1
6431	['5V5']	3	3	1
6432	['NHX']	3	1	1
6433	['XD9']	3	1	1
6434	['W7A']	3	2	1
6435	['0ET']	3	1	1
6436	['RWF']	3	2	1
6437	['NU7']	3	1	1
6438	['6YV', '3RG']	3	3	2
6439	['5RU']	3	2	1
6440	['NS3', 'NS7']	3	2	2
